0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
-502.56717,-499.51474,-500.1057,-500.72092,-501.08286,-506.36215,-504.08676,-502.39798,-500.88147,-500.23297,-502.78342,-506.14325,-487.78964,-421.5357,-400.88513,-430.76303,-462.74686,-451.2806,-426.75037,-410.23828,-392.4855,-330.1441,-253.56642,-236.52397,-249.15768,-256.27798,-252.48213,-248.98915,-244.66862,-239.52188,-235.54974,-224.58209,-215.48643,-220.65314,-249.39096,-262.25778,-234.41081,-221.51552,-212.31554,-206.8176,-206.33206,-206.18883,-219.91133,-247.90903,-258.7697,-265.34854,-276.77304,-295.277,-323.8317,-333.24655,-336.2602,-350.11124,-358.85574,-360.5377,-368.5252,-387.3976,-398.97437,-402.7642,-403.0803,-402.83484,-406.07166,-413.9908,-424.79874,-433.41852,-435.06445,-432.5553,-444.6133,-469.97034,-495.7694,-499.66595,-502.37592,-501.2189,-505.64667,-508.3087,-501.07138,-500.86496,-504.18292,-506.16437,-503.39044,-503.9358,-504.5386,-505.59097,-505.034,-499.83533,-500.0501,-501.52808,-505.1863,-506.44037,-507.75735
41.223045,46.252556,48.772324,49.291725,47.476994,44.322807,44.899143,43.895454,47.676903,48.63041,46.98574,46.140438,50.615196,70.78434,78.13204,64.83467,55.04472,65.573685,72.486404,75.7224,78.8517,111.46266,151.66579,159.12527,153.09686,151.14458,155.9212,158.71542,157.68573,158.6121,164.04651,176.7557,185.87784,187.45349,182.22375,166.40497,172.67348,181.78354,187.87494,187.95627,185.63065,186.30841,176.60974,158.97636,155.12805,155.14613,148.50829,138.42442,126.80736,123.87395,121.65935,115.24649,112.862976,113.87159,109.791824,98.6886,97.44058,97.296906,98.86987,97.307884,94.78947,95.5325,93.51276,88.00351,87.1364,89.396454,83.97031,69.975525,51.837273,49.273315,45.92344,48.402092,44.2998,42.170006,49.33608,50.066254,45.11415,42.17566,44.122787,44.172935,43.693775,43.72266,45.319427,49.780407,49.616005,49.279305,46.957092,44.874004,43.023
-1.8130686,-0.14963472,3.5216928,6.775729,2.2506733,3.6473923,2.205529,-2.8600156,0.824841,0.9942916,3.6631556,5.9261065,-18.41296,-77.46207,-87.48746,-68.54908,-44.410103,-49.23484,-67.41792,-74.543976,-84.4377,-101.54489,-118.07669,-125.35326,-119.916176,-113.46622,-110.55704,-108.26245,-114.00604,-120.59221,-118.94239,-110.060974,-105.30672,-98.221886,-76.43918,-82.40437,-99.069885,-100.93672,-106.55597,-114.17931,-117.82675,-116.94307,-119.014465,-115.93184,-113.79529,-109.11713,-107.65607,-101.255615,-83.73427,-75.23278,-73.60365,-65.421425,-58.92369,-53.979935,-49.242783,-42.573563,-32.702923,-34.143776,-32.396454,-32.460773,-32.110397,-25.391254,-19.012732,-17.800982,-16.58187,-14.694685,-10.689648,-5.9983273,-3.2458184,-1.1482908,-2.1464207,2.455369,3.100943,3.4683676,6.8369937,7.798719,3.2353263,-0.75692415,0.05496949,2.1876109,0.39985254,1.3456608,3.9643478,2.9358726,5.1144743,7.7966576,7.1258464,2.809115,4.2314672
7.6422005,3.0447147,1.832949,6.405739,2.2666938,-0.65968555,0.71164775,-1.5902876,-0.9725755,-2.1054616,1.0328187,0.52954566,-15.518826,-38.404415,-34.375618,-25.35294,-25.048897,-44.333458,-44.227486,-31.582888,-23.258312,-9.817664,6.5721087,6.4779344,7.371338,10.029949,9.003086,10.433521,11.113422,6.558402,2.7053406,4.927615,6.449254,4.8898406,2.6418338,7.751663,12.212238,10.992338,4.456565,1.1591145,5.554513,6.041794,-0.9298395,-6.070753,-17.406849,-23.45644,-25.621807,-21.042797,-13.854267,-9.399599,-6.6933,-3.2298698,-3.9263902,-0.7934346,3.7506905,6.478587,5.1424704,-5.129217,-5.7573433,-0.108777136,0.08083427,-3.934476,-10.430218,-12.939783,-9.113695,-7.2838182,-11.583803,-15.733597,-13.371026,-8.115732,-6.278699,-2.9184537,1.8213246,3.985496,7.4524717,7.351762,3.5000882,-1.1048768,1.5135473,5.8970957,0.7773007,-0.34234685,4.759201,2.1027882,4.4473934,5.9653482,3.853746,-2.5777125,2.127404
3.6026783,-0.11892223,-1.1344216,3.127111,3.7982242,-4.8784275,-2.3151433,1.0373513,1.3915342,-0.9680563,-2.2227736,-3.0818405,8.997482,30.935013,34.400616,29.153393,12.02153,-3.8449252,7.9850597,15.98621,17.90063,33.208908,42.6121,42.49893,41.2025,42.402283,39.095985,34.444176,36.981483,38.683952,35.934975,29.31387,27.966705,23.419983,21.282936,31.38467,29.766735,29.326588,30.479368,29.388754,37.812004,37.15174,30.40541,22.35215,9.091999,1.2166289,-2.1131244,3.914268,6.061247,5.272254,6.323189,5.687233,0.8831697,-1.2172396,1.4939167,0.63804716,-2.077479,-7.8105674,-7.5579834,-2.2814827,-3.8095312,-3.658948,-12.5074215,-18.578941,-13.500469,-14.048661,-19.664223,-18.771772,-13.236982,-6.269097,-5.1391973,-7.307967,-1.2617526,2.490845,5.7919545,5.17498,1.6392888,-0.41432816,2.571556,7.2563605,1.1065303,-1.0726175,8.084585,7.682641,4.203765,0.34844583,0.17811811,-2.7352095,-1.4206114
-14.015652,-13.953188,-11.735811,-8.177612,-4.3864937,-10.455447,-9.960358,-5.7576013,-6.3746367,-10.433567,-12.063025,-10.900813,9.363581,23.626488,15.952773,9.988991,10.123684,13.853292,18.24895,7.9452505,-6.1566267,-25.506302,-38.604385,-41.46141,-42.06317,-35.11032,-35.605576,-39.74723,-38.77794,-32.434345,-29.411995,-34.316162,-31.141943,-32.96686,-18.413055,-6.1310487,-19.859512,-23.249472,-20.92459,-24.915352,-24.989475,-26.503038,-30.20525,-37.138073,-40.160126,-43.897713,-52.009182,-48.885216,-42.3779,-43.70894,-45.441227,-42.937286,-41.921524,-46.896965,-44.46272,-41.8732,-41.094353,-41.1454,-40.062065,-38.567772,-40.817604,-34.35991,-36.550076,-40.56002,-39.464657,-38.92547,-36.350655,-27.34758,-16.9603,-12.202402,-14.467089,-16.616047,-12.216268,-9.492542,-9.027903,-8.263687,-9.795737,-8.416672,-5.183985,-3.1296618,-7.9833136,-9.498941,-0.82099366,-1.3876289,-5.655855,-11.156731,-10.615053,-7.6386657,-8.439655
-4.534226,-4.348619,-5.381809,-3.9261296,-0.6257699,-0.73052466,0.14509091,1.1377786,-3.5733871,-6.9150896,-5.756442,-5.108966,1.6453183,3.6658258,1.9976307,-2.5661652,9.445173,23.99664,22.334959,13.512592,9.22061,-9.133685,-1.9306556,1.1808677,-0.52704585,6.8681464,7.5541778,8.468322,10.101852,15.295149,20.339806,21.23398,26.543493,25.84254,32.422966,38.910633,37.67038,34.903496,32.627094,31.639442,30.030201,32.19277,31.676,22.77161,26.710377,22.26099,9.283377,3.0478873,1.8745748,-1.6601262,-8.25757,-9.312217,-2.7881994,-4.3811955,-1.9980819,-2.5872364,-9.394401,-12.168886,-11.237827,-11.284597,-13.774716,-16.982296,-20.376595,-19.877342,-18.926361,-17.700794,-13.67255,-12.288843,-7.9647665,-5.451173,-9.072578,-5.8741264,-4.3662767,-4.1051927,-7.426815,-6.0420074,-5.649988,-3.8652558,0.16482759,-0.48575634,-4.994661,-6.601135,-1.7326268,-3.7711911,-2.334216,-4.4197555,-5.688978,-2.9038534,-0.7590779
1.1812189,1.925658,-2.325761,-3.363508,-0.56749344,0.56796503,2.7855062,1.8269572,-1.0127802,-1.2579517,-1.932694,-1.982858,-6.708726,-10.259377,-7.676444,-6.6946836,-1.4018317,5.1751785,-2.8775773,-6.813463,-3.1699796,-6.203537,0.5392361,2.9010553,3.6603363,5.845909,4.036588,2.378189,0.90328497,0.3336082,1.9167492,3.5108166,1.4447787,2.0727954,3.8183825,1.0971094,-2.4634495,-1.2989147,-3.7030292,-2.0216484,3.7652354,8.747731,13.363309,13.31312,25.206512,25.732101,22.954628,21.507904,15.8078575,11.873596,4.719406,-0.40136155,7.696304,9.10279,10.487333,7.5219545,1.3079687,0.23349863,0.81285,-1.3561561,-5.023756,-11.362447,-12.743535,-7.394314,-0.8191763,-7.9829464,-7.1438,-2.8004537,-2.0230043,2.689352,0.8728163,3.2299743,2.7528546,4.4207573,-2.2557561,-1.9165207,-2.5328088,-1.7277918,0.4506902,-0.5780623,-5.0862546,-5.788784,-3.0284524,-3.1565819,-1.8583684,-2.1327534,-1.0695126,-2.3002014,-1.4422475
-2.8678522,-2.8852243,-4.5460835,-5.1778502,-3.6198673,-3.8791177,-4.058671,-3.9898062,0.3505195,-0.6947011,-2.5142126,-3.1115596,-8.18889,-15.337672,-15.854464,-11.057781,-16.627617,-19.901337,-20.365194,-18.546627,-16.588501,-14.997763,-19.341537,-20.441437,-20.126045,-19.782156,-22.506474,-24.971577,-28.36781,-31.980534,-34.105392,-29.950294,-35.15371,-36.837982,-33.109867,-34.277267,-45.01835,-41.893837,-39.07995,-40.19983,-38.30183,-38.318867,-36.08675,-29.036171,-16.950203,-11.837134,-5.408745,1.0464795,-1.3680793,-3.1441512,-4.746808,-5.6303725,-0.44548815,-1.8099858,-3.4231815,-1.8598473,0.28526556,0.19945318,-2.1455777,-5.2098227,-9.683823,-12.005327,-8.471718,-2.645422,1.431394,-10.800018,-11.725941,-1.3134925,-2.6823277,0.39498305,1.1492479,0.20762618,-0.41035628,4.1032457,-2.4736705,-2.865508,-3.7448072,-2.201398,-1.3220044,-1.9245626,-4.308913,-3.4420564,-4.134818,-2.5683007,-4.830948,-5.0347633,-3.045597,-4.632064,-7.396798
7.7809734,3.4231048,4.0052967,5.8217545,4.9849386,3.4613562,0.32842964,2.570149,7.5101395,3.4426937,5.002572,4.3070154,0.8268636,-7.578581,-6.6323233,-2.5300262,-6.902081,-11.329289,3.91923,10.4303,11.911646,17.49242,21.633278,25.39007,27.064941,27.67144,25.402699,29.12196,28.64421,25.225166,23.283794,27.084055,22.867414,18.890507,21.210598,21.78965,17.02108,18.19594,26.527348,25.50219,20.201296,18.503628,17.94264,22.156603,19.608738,18.778053,22.042194,27.216688,29.20271,27.44763,24.202572,26.473982,26.980549,24.983276,24.115156,27.084946,28.926311,24.989677,22.575851,22.044144,20.267082,15.888174,19.100542,20.19247,17.686934,13.956251,13.415081,13.664237,3.8357582,-1.1886952,0.4462793,1.7110823,1.5453119,5.87249,3.4207492,1.5874891,3.263455,5.5774655,7.2825108,6.9392633,8.674364,7.7447605,3.426746,4.239913,2.0234697,3.659904,1.9424424,1.7534586,0.053129457
